classifier,vectorizer,ngram type,ngram range,max_df,min_df,max_f,num_f,scaler,f1-score,type
Logit,Count,Char,Bigrams,0.9,0.1,None,192,L1,0.04904172662668025,Split
SVM,Count,Char,Bigrams,0.9,0.1,None,192,L1,0.17595891664809704,Split
RandomForest,Count,Char,Bigrams,0.9,0.1,None,192,L1,0.13098559726606435,Split
kNN,Count,Char,Bigrams,0.9,0.1,None,192,L2,0.17219474021968426,Split
Logit,Count,Char,Bigrams,0.9,0.1,None,192,L2,0.13889754017057968,Split
SVM,Count,Char,Bigrams,0.9,0.1,None,192,L2,0.1801471782142671,Split
RandomForest,Count,Char,Bigrams,0.9,0.1,None,192,L2,0.13311653086612696,Split
kNN,Count,Char,Bigrams,0.9,0.1,1000,192,StandardScaler,0.1289318021502287,Split
Logit,Count,Char,Bigrams,0.9,0.1,1000,192,StandardScaler,0.2548283164135165,Split
SVM,Count,Char,Bigrams,0.9,0.1,1000,192,StandardScaler,0.16387035225511984,Split
RandomForest,Count,Char,Bigrams,0.9,0.1,1000,192,StandardScaler,0.13283014870698392,Split
kNN,Count,Char,Bigrams,0.9,0.1,1000,192,L1,0.16806694502917643,Split
Logit,Count,Char,Bigrams,0.9,0.1,1000,192,L1,0.04904172662668025,Split
SVM,Count,Char,Bigrams,0.9,0.1,1000,192,L1,0.17595891664809704,Split
RandomForest,Count,Char,Bigrams,0.9,0.1,1000,192,L1,0.13253024671979338,Split
kNN,Count,Char,Bigrams,0.9,0.1,1000,192,L2,0.17219474021968426,Split
Logit,Count,Char,Bigrams,0.9,0.1,1000,192,L2,0.13889754017057968,Split
SVM,Count,Char,Bigrams,0.9,0.1,1000,192,L2,0.1801471782142671,Split
RandomForest,Count,Char,Bigrams,0.9,0.1,1000,192,L2,0.13091504459900452,Split
kNN,Count,Char,Bigrams,0.9,0.2,None,172,StandardScaler,0.13718274432454522,Split
Logit,Count,Char,Bigrams,0.9,0.2,None,172,StandardScaler,0.25667522351845823,Split
SVM,Count,Char,Bigrams,0.9,0.2,None,172,StandardScaler,0.17121889304193458,Split
RandomForest,Count,Char,Bigrams,0.9,0.2,None,172,StandardScaler,0.13179972114292926,Split
kNN,Count,Char,Bigrams,0.9,0.2,None,172,L1,0.16573859382927306,Split
Logit,Count,Char,Bigrams,0.9,0.2,None,172,L1,0.04974011655944821,Split
SVM,Count,Char,Bigrams,0.9,0.2,None,172,L1,0.1725939363918608,Split
RandomForest,Count,Char,Bigrams,0.9,0.2,None,172,L1,0.13090570462725798,Split
kNN,Count,Char,Bigrams,0.9,0.2,None,172,L2,0.16385580337405445,Split
Logit,Count,Char,Bigrams,0.9,0.2,None,172,L2,0.13779330836821554,Split
SVM,Count,Char,Bigrams,0.9,0.2,None,172,L2,0.1772545545536327,Split
RandomForest,Count,Char,Bigrams,0.9,0.2,None,172,L2,0.1335675548159361,Split
kNN,Count,Char,Bigrams,0.9,0.2,1000,172,StandardScaler,0.13718274432454522,Split
Logit,Count,Char,Bigrams,0.9,0.2,1000,172,StandardScaler,0.25667522351845823,Split
SVM,Count,Char,Bigrams,0.9,0.2,1000,172,StandardScaler,0.17121889304193458,Split
RandomForest,Count,Char,Bigrams,0.9,0.2,1000,172,StandardScaler,0.12596292794836403,Split
kNN,Count,Char,Bigrams,0.9,0.2,1000,172,L1,0.16573859382927306,Split
Logit,Count,Char,Bigrams,0.9,0.2,1000,172,L1,0.04974011655944821,Split
SVM,Count,Char,Bigrams,0.9,0.2,1000,172,L1,0.1725939363918608,Split
RandomForest,Count,Char,Bigrams,0.9,0.2,1000,172,L1,0.13306493883760093,Split
kNN,Count,Char,Bigrams,0.9,0.2,1000,172,L2,0.16385580337405445,Split
Logit,Count,Char,Bigrams,0.9,0.2,1000,172,L2,0.13779330836821554,Split
SVM,Count,Char,Bigrams,0.9,0.2,1000,172,L2,0.1772545545536327,Split
RandomForest,Count,Char,Bigrams,0.9,0.2,1000,172,L2,0.12507760482689778,Split
kNN,Count,Char,Bigrams,1.0,0.0,None,342,StandardScaler,0.15500391835821828,Split
Logit,Count,Char,Bigrams,1.0,0.0,None,342,StandardScaler,0.3098042729288868,Split
SVM,Count,Char,Bigrams,1.0,0.0,None,342,StandardScaler,0.17123994221514363,Split
RandomForest,Count,Char,Bigrams,1.0,0.0,None,342,StandardScaler,0.14392835835371062,Split
kNN,Count,Char,Bigrams,1.0,0.0,None,342,L1,0.1830274999353619,Split
Logit,Count,Char,Bigrams,1.0,0.0,None,342,L1,0.025327535617067912,Split
SVM,Count,Char,Bigrams,1.0,0.0,None,342,L1,0.1493321618687098,Split
RandomForest,Count,Char,Bigrams,1.0,0.0,None,342,L1,0.13684656836193446,Split
kNN,Count,Char,Bigrams,1.0,0.0,None,342,L2,0.20309842851500973,Split
Logit,Count,Char,Bigrams,1.0,0.0,None,342,L2,0.11866428896398205,Split
SVM,Count,Char,Bigrams,1.0,0.0,None,342,L2,0.15048651301668622,Split
RandomForest,Count,Char,Bigrams,1.0,0.0,None,342,L2,0.14257004361368092,Split
kNN,Count,Char,Bigrams,1.0,0.0,1000,342,StandardScaler,0.15500391835821828,Split
Logit,Count,Char,Bigrams,1.0,0.0,1000,342,StandardScaler,0.3098042729288868,Split
SVM,Count,Char,Bigrams,1.0,0.0,1000,342,StandardScaler,0.17123994221514363,Split
RandomForest,Count,Char,Bigrams,1.0,0.0,1000,342,StandardScaler,0.14704115152864575,Split
kNN,Count,Char,Bigrams,1.0,0.0,1000,342,L1,0.1830274999353619,Split
Logit,Count,Char,Bigrams,1.0,0.0,1000,342,L1,0.025327535617067912,Split
SVM,Count,Char,Bigrams,1.0,0.0,1000,342,L1,0.1493321618687098,Split
RandomForest,Count,Char,Bigrams,1.0,0.0,1000,342,L1,0.1391750222963896,Split
kNN,Count,Char,Bigrams,1.0,0.0,1000,342,L2,0.20309842851500973,Split
Logit,Count,Char,Bigrams,1.0,0.0,1000,342,L2,0.11866428896398205,Split
SVM,Count,Char,Bigrams,1.0,0.0,1000,342,L2,0.15048651301668622,Split
RandomForest,Count,Char,Bigrams,1.0,0.0,1000,342,L2,0.13070415907501762,Split
kNN,Count,Char,Bigrams,1.0,0.1,None,240,StandardScaler,0.16556152268627686,Split
Logit,Count,Char,Bigrams,1.0,0.1,None,240,StandardScaler,0.26933915540392883,Split
SVM,Count,Char,Bigrams,1.0,0.1,None,240,StandardScaler,0.18303834162925495,Split
RandomForest,Count,Char,Bigrams,1.0,0.1,None,240,StandardScaler,0.13762531377267392,Split
kNN,Count,Char,Bigrams,1.0,0.1,None,240,L1,0.1741424290437589,Split
Logit,Count,Char,Bigrams,1.0,0.1,None,240,L1,0.02598083925478135,Split
SVM,Count,Char,Bigrams,1.0,0.1,None,240,L1,0.1595073309207421,Split
RandomForest,Count,Char,Bigrams,1.0,0.1,None,240,L1,0.13560644364586175,Split
kNN,Count,Char,Bigrams,1.0,0.1,None,240,L2,0.19945208883464285,Split
Logit,Count,Char,Bigrams,1.0,0.1,None,240,L2,0.1184527962776093,Split
SVM,Count,Char,Bigrams,1.0,0.1,None,240,L2,0.15619641063646503,Split
RandomForest,Count,Char,Bigrams,1.0,0.1,None,240,L2,0.135929681141456,Split
kNN,Count,Char,Bigrams,1.0,0.1,1000,240,StandardScaler,0.16556152268627686,Split
Logit,Count,Char,Bigrams,1.0,0.1,1000,240,StandardScaler,0.26933915540392883,Split
