classifier,vectorizer,ngram type,ngram range,max_df,min_df,max_f,num_f,scaler,f1-score,type
RandomForest,Count,Char,Bigrams,0.9,0.1,None,191,L1,0.15509260469767316,Split
kNN,Count,Char,Bigrams,0.9,0.1,None,191,L2,0.14281584681015988,Split
Logit,Count,Char,Bigrams,0.9,0.1,None,191,L2,0.15636789113311503,Split
SVM,Count,Char,Bigrams,0.9,0.1,None,191,L2,0.16556943049961834,Split
RandomForest,Count,Char,Bigrams,0.9,0.1,None,191,L2,0.1473280770620537,Split
kNN,Count,Char,Bigrams,0.9,0.1,1000,191,StandardScaler,0.19617443260124026,Split
SVM,Count,Char,Bigrams,0.9,0.1,1000,191,StandardScaler,0.16027257078203302,Split
Logit,Count,Char,Bigrams,0.9,0.1,1000,191,StandardScaler,0.3105797245979089,Split
RandomForest,Count,Char,Bigrams,0.9,0.1,1000,191,StandardScaler,0.1555884875670855,Split
kNN,Count,Char,Bigrams,0.9,0.1,1000,191,L1,0.08837136948238007,Split
Logit,Count,Char,Bigrams,0.9,0.1,1000,191,L1,0.06619335919854757,Split
SVM,Count,Char,Bigrams,0.9,0.1,1000,191,L1,0.16680715055729536,Split
RandomForest,Count,Char,Bigrams,0.9,0.1,1000,191,L1,0.1468808361925539,Split
kNN,Count,Char,Bigrams,0.9,0.1,1000,191,L2,0.14281584681015988,Split
Logit,Count,Char,Bigrams,0.9,0.1,1000,191,L2,0.15636789113311503,Split
SVM,Count,Char,Bigrams,0.9,0.1,1000,191,L2,0.16556943049961834,Split
RandomForest,Count,Char,Bigrams,0.9,0.1,1000,191,L2,0.15469706426354404,Split
kNN,Count,Char,Bigrams,0.9,0.2,None,172,StandardScaler,0.2167697117852403,Split
SVM,Count,Char,Bigrams,0.9,0.2,None,172,StandardScaler,0.16788136546581214,Split
Logit,Count,Char,Bigrams,0.9,0.2,None,172,StandardScaler,0.28572260995524335,Split
RandomForest,Count,Char,Bigrams,0.9,0.2,None,172,StandardScaler,0.16149929697479518,Split
kNN,Count,Char,Bigrams,0.9,0.2,None,172,L1,0.09096426765350636,Split
Logit,Count,Char,Bigrams,0.9,0.2,None,172,L1,0.06619335919854757,Split
SVM,Count,Char,Bigrams,0.9,0.2,None,172,L1,0.1661194751380533,Split
RandomForest,Count,Char,Bigrams,0.9,0.2,None,172,L1,0.1542859525387176,Split
kNN,Count,Char,Bigrams,0.9,0.2,None,172,L2,0.13830418893190868,Split
Logit,Count,Char,Bigrams,0.9,0.2,None,172,L2,0.1595294211405239,Split
SVM,Count,Char,Bigrams,0.9,0.2,None,172,L2,0.1692431301142879,Split
RandomForest,Count,Char,Bigrams,0.9,0.2,None,172,L2,0.15548004934448764,Split
kNN,Count,Char,Bigrams,0.9,0.2,1000,172,StandardScaler,0.2167697117852403,Split
SVM,Count,Char,Bigrams,0.9,0.2,1000,172,StandardScaler,0.16788136546581214,Split
Logit,Count,Char,Bigrams,0.9,0.2,1000,172,StandardScaler,0.28572260995524335,Split
RandomForest,Count,Char,Bigrams,0.9,0.2,1000,172,StandardScaler,0.15754672231956665,Split
kNN,Count,Char,Bigrams,0.9,0.2,1000,172,L1,0.09096426765350636,Split
Logit,Count,Char,Bigrams,0.9,0.2,1000,172,L1,0.06619335919854757,Split
SVM,Count,Char,Bigrams,0.9,0.2,1000,172,L1,0.1661194751380533,Split
RandomForest,Count,Char,Bigrams,0.9,0.2,1000,172,L1,0.15273213217713397,Split
kNN,Count,Char,Bigrams,0.9,0.2,1000,172,L2,0.13830418893190868,Split
Logit,Count,Char,Bigrams,0.9,0.2,1000,172,L2,0.1595294211405239,Split
SVM,Count,Char,Bigrams,0.9,0.2,1000,172,L2,0.1692431301142879,Split
RandomForest,Count,Char,Bigrams,0.9,0.2,1000,172,L2,0.15767720339403304,Split
kNN,Count,Char,Bigrams,1.0,0.0,None,329,StandardScaler,0.21477592476862026,Split
SVM,Count,Char,Bigrams,1.0,0.0,None,329,StandardScaler,0.19213767552817304,Split
Logit,Count,Char,Bigrams,1.0,0.0,None,329,StandardScaler,0.3619724000732078,Split
RandomForest,Count,Char,Bigrams,1.0,0.0,None,329,StandardScaler,0.15568285507469912,Split
kNN,Count,Char,Bigrams,1.0,0.0,None,329,L1,0.119870968182052,Split
Logit,Count,Char,Bigrams,1.0,0.0,None,329,L1,0.06619335919854757,Split
SVM,Count,Char,Bigrams,1.0,0.0,None,329,L1,0.16120698982120293,Split
RandomForest,Count,Char,Bigrams,1.0,0.0,None,329,L1,0.17132302802257504,Split
kNN,Count,Char,Bigrams,1.0,0.0,None,329,L2,0.1303097938800657,Split
SVM,Count,Char,Bigrams,1.0,0.0,None,329,L2,0.16403993294267782,Split
Logit,Count,Char,Bigrams,1.0,0.0,None,329,L2,0.14700851700387238,Split
RandomForest,Count,Char,Bigrams,1.0,0.0,None,329,L2,0.1530964296185067,Split
kNN,Count,Char,Bigrams,1.0,0.0,1000,329,StandardScaler,0.21477592476862026,Split
SVM,Count,Char,Bigrams,1.0,0.0,1000,329,StandardScaler,0.19213767552817304,Split
Logit,Count,Char,Bigrams,1.0,0.0,1000,329,StandardScaler,0.3619724000732078,Split
RandomForest,Count,Char,Bigrams,1.0,0.0,1000,329,StandardScaler,0.15576156161493837,Split
kNN,Count,Char,Bigrams,1.0,0.0,1000,329,L1,0.119870968182052,Split
Logit,Count,Char,Bigrams,1.0,0.0,1000,329,L1,0.06619335919854757,Split
SVM,Count,Char,Bigrams,1.0,0.0,1000,329,L1,0.16120698982120293,Split
RandomForest,Count,Char,Bigrams,1.0,0.0,1000,329,L1,0.1601403448691203,Split
kNN,Count,Char,Bigrams,1.0,0.0,1000,329,L2,0.1303097938800657,Split
Logit,Count,Char,Bigrams,1.0,0.0,1000,329,L2,0.14700851700387238,Split
SVM,Count,Char,Bigrams,1.0,0.0,1000,329,L2,0.16403993294267782,Split
RandomForest,Count,Char,Bigrams,1.0,0.0,1000,329,L2,0.15667116959264818,Split
kNN,Count,Char,Bigrams,1.0,0.1,None,243,StandardScaler,0.21461245424216038,Split
SVM,Count,Char,Bigrams,1.0,0.1,None,243,StandardScaler,0.1731424261377966,Split
Logit,Count,Char,Bigrams,1.0,0.1,None,243,StandardScaler,0.3379200067622707,Split
RandomForest,Count,Char,Bigrams,1.0,0.1,None,243,StandardScaler,0.16024552009654014,Split
kNN,Count,Char,Bigrams,1.0,0.1,None,243,L1,0.10314682911920327,Split
